"Sport","Name","Height","Weight","Age"
"Alpine Skiing","Macarena Mara Simari Birkner",168,60,29
"Volleyball","Demin Gonzlez",192,82,33
"Sailing","Bautista Saubidet Birkner",179,72,20
"Sailing","Cecilia Carranza Saroli",164,63,29
"Handball","Matas Carlos Schulz",190,88,34
"Volleyball","Tanya Acosta",182,70,25
"Handball","Federico Gastn Fernndez",191,88,26
"Swimming","Virginia Bardach Martn",174,57,24
"Athletics","Mariano Nicols Mastromarino",169,56,33
"Canoeing","Juan Ignacio Cceres",168,75,24
"Sailing","Juan Mara de la Fuente",181,74,39
"Football","Alexis Soto",172,66,22
"Hockey","Juan Manuel Vivaldi",180,80,37
"Handball","Sebastin Simonet Moldes",189,93,30
"Rugby Sevens","Nicols Bruzzone",169,76,30
"Hockey","Matas Enrique Paredes",176,74,34
"Triathlon","Luciano Taccone",176,63,27
"Swimming","Federico Grabich",193,92,26
"Athletics","Jennifer ""Jenny"" Dahlgren Fitzner",180,110,32
"Rugby Sevens","Javier Rojas",172,83,25
"Hockey","Mara Noel Barrionuevo",171,58,32
"Swimming","Santiago Grassi",187,82,19
"Rugby Sevens","Germn Schulz",187,93,22
"Swimming","Virginia Bardach Martn",174,57,24
"Hockey","Ignacio Ortz",180,76,29
"Tennis","Guido Pella",185,83,26
"Cycling","Catriel Andrs Soto",175,68,29
"Volleyball","Cristian Gabriel Poglajen",195,94,27
"Rugby Sevens","Franco Sbato",185,87,26
"Alpine Skiing","Cristian Javier Simari Birkner",184,86,33
"Swimming","Federico Grabich",193,92,26
"Handball","Pablo Ariel Simonet Moldes",185,90,24
"Football","Lautaro Gianetti",184,79,22
"Equestrianism","Bruno Passaro",175,72,27
"Handball","Leonardo Facundo Querin",197,105,34
"Volleyball","Florencia Natasha Busquets Reyes",192,68,27
"Volleyball","Tatiana Soledad Rizzo",178,64,29
"Volleyball","Luca Fresco",195,92,25
"Handball","Macarena Sans",165,64,19
"Swimming","Martn Naidich",185,74,25
"Cycling","Gonzalo Molina",178,83,21
"Fencing","Mara Beln Prez Maurice",180,68,31
"Equestrianism","Ramiro Quintana",172,70,39
"Swimming","Martn Naidich",185,74,25
"Canoeing","Sebastin Maximiliano Rossi",175,77,24
"Hockey","Manuel Brunet",179,79,30
"Hockey","Delfina Merino",169,59,26
"Modern Pentathlon","Iryna Viktorivna Khokhlova (-Zapata)",167,60,26
"Canoeing","Pablo Martn de Torres",190,86,32
"Alpine Skiing","Cristian Javier Simari Birkner",184,86,33
"Football","Giovani Lo Celso",177,70,20
"Hockey","Carla Rebecchi",163,55,31
"Canoeing","Sabrina Ameghino",169,64,36
"Tennis","Mximo Gonzlez Mereira",175,70,33
"Swimming","Virginia Bardach Martn",174,57,24
