"region","Summer","Winter","summer_percentage","winter_percentage","expected_summer_pct","amt_above_exp_sum_pct","id"
"Saudi Arabia",3,0,1,0,0.849087542978048,0.150912457021952,"682"
"Senegal",1,0,1,0,0.849087542978048,0.150912457021952,"686"
"Serbia",107,4,0.963963963963964,0.036036036036036,0.849087542978048,0.114876420985916,"688"
"Singapore",5,0,1,0,0.849087542978048,0.150912457021952,"702"
"Slovakia",28,5,0.848484848484849,0.151515151515151,0.849087542978048,-0.000602694493199607,"703"
"Slovenia",23,15,0.605263157894737,0.394736842105263,0.849087542978048,-0.243824385083311,"705"
"South Africa",88,0,1,0,0.849087542978048,0.150912457021952,"710"
"South Korea",263,53,0.832278481012658,0.167721518987342,0.849087542978048,-0.0168090619653899,"410"
"Spain",148,2,0.986666666666667,0.0133333333333333,0.849087542978048,0.137579123688619,"724"
"Sri Lanka",2,0,1,0,0.849087542978048,0.150912457021952,"144"
"Sudan",1,0,1,0,0.849087542978048,0.150912457021952,"729"
"Suriname",2,0,1,0,0.849087542978048,0.150912457021952,"740"
"Sweden",513,144,0.780821917808219,0.219178082191781,0.849087542978048,-0.0682656251698289,"752"
"Switzerland",209,137,0.604046242774566,0.395953757225434,0.849087542978048,-0.245041300203482,"756"
"Syria",5,0,1,0,0.849087542978048,0.150912457021952,"760"
"Taiwan",24,0,1,0,0.849087542978048,0.150912457021952,"158"
"Tajikistan",4,0,1,0,0.849087542978048,0.150912457021952,"762"
"Tanzania",2,0,1,0,0.849087542978048,0.150912457021952,"834"
"Thailand",30,0,1,0,0.849087542978048,0.150912457021952,"764"
"Togo",1,0,1,0,0.849087542978048,0.150912457021952,"768"
"Tonga",1,0,1,0,0.849087542978048,0.150912457021952,"776"
"Trinidad",21,0,1,0,0.849087542978048,0.150912457021952,"780"
"Tunisia",13,0,1,0,0.849087542978048,0.150912457021952,"788"
"Turkey",95,0,1,0,0.849087542978048,0.150912457021952,"792"
"Uganda",7,0,1,0,0.849087542978048,0.150912457021952,"800"
"UK",892,27,0.970620239390642,0.029379760609358,0.849087542978048,0.121532696412594,"826"
"Ukraine",126,7,0.947368421052632,0.0526315789473685,0.849087542978048,0.0982808780745834,"804"
"United Arab Emirates",2,0,1,0,0.849087542978048,0.150912457021952,"784"
"Uruguay",10,0,1,0,0.849087542978048,0.150912457021952,"858"
"USA",2544,279,0.901168969181722,0.0988310308182784,0.849087542978048,0.0520814262036735,"840"
"Uzbekistan",33,1,0.970588235294118,0.0294117647058824,0.849087542978048,0.12150069231607,"860"
"Venezuela",15,0,1,0,0.849087542978048,0.150912457021952,"862"
"Vietnam",4,0,1,0,0.849087542978048,0.150912457021952,"704"
"Virgin Islands, US",1,0,1,0,0.849087542978048,0.150912457021952,"850"
"Zambia",2,0,1,0,0.849087542978048,0.150912457021952,"894"
"Zimbabwe",8,0,1,0,0.849087542978048,0.150912457021952,"716"
